dyad,task,task_order,creativity_score,LEXDIVD_essay,ADJ_ATTR_essay,FRSLacsm_essay,TAALES.proportion_unique_written_trigrams_essay,PRES_essay,TAALES.bnc_written_range_content_average_essay,ADVS_essay,P_AND_essay,TAALES.proportion_unique_spoken_trigrams_essay,TAALES.afl_all_count_norm_essay,LEXDIVTD_essay,TAALES.B_AoA_funct_average_essay,PrivateVerb_essay,GEN_EMPH_essay,TAACO_all_positive_bk_essay,ADJ_PRED_essay,LSAGN_essay,POS_NNP_essay,TAALES.meaningfulness_colorado_average_essay,TAACO_Adjacent_Overlap_2_CW_essay,Exemplification_essay
s17s18,chair,third,8.715,52,22,2.196068469,0.15037594,56,63.91591884,56,8,0.180451128,0.015015015,60.66735689,4.391168831,2.037845706,8,0.217717718,23,0.356959879,14.55604076,354.5282258,0.114285714,0.727802038
s17s18,pipe,second,11.409,52,11,2.112424955,0.120954003,35,62.70680236,67,0,0.163543441,0.011904762,60.06806856,4.425627907,1.487603306,4,0.158163265,19,0.333796024,14.87603306,358.7021739,0.081771721,0.165289256
s19s20,antenna,first,14.499,91,49,1.954166189,0.14105595,62,57.40911708,113,11,0.162332545,0.007086614,93.83955285,4.517008368,1.233616037,10,0.201574803,29,0.286521554,3.084040093,347.8734322,0.074980268,1.00231303
s19s20,chair,second,12.307,81,26,2.023015096,0.132653061,47,59.77419095,44,2,0.158892128,0.014556041,63.8571162,4.335202952,0.863309353,6,0.225618632,17,0.317127287,4.316546763,350.8199609,0.075332349,1.438848921
s19s20,pipe,third,12.7445,82,28,2.001880411,0.146596859,42,62.87451081,90,8,0.208115183,0.011764706,74.95621162,4.516993007,1.670951157,10,0.194771242,18,0.302424014,11.56812339,357.3951049,0.054973822,1.028277635
s1s2,antenna,third,11.397,117,27,1.845460472,0.102272727,35,56.94417171,35,2,0.106060606,0.005671078,97.72482906,4.389946524,1.109057301,1,0.189035917,15,0.270909071,18.48428835,345.8063584,0.058712121,0.554528651
s1s2,chair,first,10.466,83,58,1.975997903,0.108221477,68,59.23187711,90,7,0.115771812,0.011735122,81.44512745,4.30842723,1.314708299,6,0.202849958,21,0.295564055,6.573541495,345.2512019,0.065436242,0.493015612
s1s2,pipe,second,11.431,80,35,1.946449572,0.128571429,67,62.5827604,88,14,0.146428571,0.008323424,71.66666667,4.472822086,1.279069767,7,0.20451843,21,0.300024301,13.95348837,349.1453125,0.08004779,0.348837209
s21s22,antenna,first,16.4995,116,37,1.908826823,0.097196262,76,56.34232467,82,14,0.120560748,0.00280112,93.87481864,4.385925,1.630434783,8,0.193277311,22,0.292005718,32.60869565,355.0222222,0.055191768,1.268115942
s21s22,chair,third,18.674,115,63,1.989589507,0.101585014,117,57.21279985,122,13,0.127521614,0.007199424,80.88888889,4.355243902,1.300479124,13,0.174226062,36,0.286972612,26.00958248,369.0009843,0.051152738,1.232032854
s21s22,pipe,second,16.482,108,31,1.937753662,0.101286174,51,54.24808368,53,8,0.110932476,0.003210273,102.3050147,4.297175926,2.461538462,5,0.144462279,18,0.292988896,35.38461538,371.4552058,0.035369775,1.076923077
s23s24,antenna,second,19.129,141,54,1.962424026,0.085876508,81,56.53490723,138,9,0.113555713,0.005673759,111.3551408,4.39195122,0.746268657,15,0.157446809,37,0.262762904,45.45454545,349.7599545,0.048261178,0.610583446
s23s24,chair,third,17.004,127,61,1.850634438,0.097674419,71,53.71442533,110,5,0.113953488,0.012393493,110.7466428,4.4184,1.54185022,8,0.149496514,43,0.241553158,51.39500734,364.5613609,0.027131783,0.954478708
s23s24,pipe,first,20.4525,123,76,1.949920614,0.101921957,104,57.30395575,144,6,0.130460105,0.009313155,100.1014048,4.303087971,1.785714286,13,0.135040745,39,0.290175885,38.50446429,360.3433628,0.044871795,1.060267857
s25s26,antenna,third,13.148,107,18,2.018760776,0.0906298,66,54.76576609,47,2,0.092165899,0.009202454,95.93155709,4.530648148,1.684532925,6,0.154907975,15,0.265257895,47.47320061,339.8676123,0.053929122,0.45941807
s25s26,chair,second,10.511,63,26,2.188315332,0.132824427,52,65.10841487,64,4,0.126717557,0.019817073,64.73309296,4.37617284,0.758725341,2,0.219512195,13,0.292399406,27.31411229,345.3828452,0.06259542,0.455235205
s25s26,pipe,first,12.317,71,54,2.017111483,0.096638655,79,55.62164381,68,11,0.100840336,0.00524659,77.34784644,4.431335227,1.467505241,7,0.17838405,20,0.290293425,17.8197065,345.8103187,0.070824524,0.314465409
s27s28,antenna,second,16.161,121,53,1.876437967,0.096590909,74,51.12920868,92,7,0.118371212,0.005676443,93.72752079,4.428442623,1.774042951,20,0.159886471,29,0.27781716,20.54154995,350.4475219,0.053080569,1.213818861
s27s28,chair,first,17.4195,106,55,1.879847668,0.087254063,65,52.5981284,66,7,0.112061591,0.004273504,88.82466304,4.225770171,1.517706577,12,0.158119658,27,0.268051773,26.98145025,368.2004717,0.048759624,2.698145025
s27s28,pipe,third,17.38,129,48,1.838975085,0.091160221,67,53.30903521,100,10,0.121546961,0.005519779,104.6617109,4.311092896,1.270417423,12,0.152713891,26,0.255348295,31.76043557,362.7580645,0.051612903,1.724137931
s29s30,antenna,third,9.239,85,14,1.981031277,0.108280255,49,54.0649724,47,2,0.099787686,0.012711864,87.39661319,4.649041916,1.247401247,7,0.19279661,10,0.302659839,14.55301455,331.9142857,0.070063694,0.415800416
s29s30,chair,first,7.874,61,36,2.19774752,0.104549855,65,62.71011818,67,4,0.119070668,0.008704062,56.40181518,4.419212598,1.151631478,10,0.199226306,14,0.339015812,8.637236084,351.3802281,0.102613746,0.383877159
s29s30,pipe,second,9.625,72,27,2.170901186,0.111692845,40,61.12108577,55,2,0.122164049,0.008710801,71.2526789,4.523661972,1.538461538,5,0.238675958,8,0.30697158,6.837606838,346.1220096,0.076512456,0.170940171
s31s32,antenna,first,12.2675,97,13,1.867797954,0.106824926,32,58.00482197,25,3,0.151335312,0.00887574,84.60213006,4.319133858,1.759530792,3,0.162721893,3,0.226144388,32.25806452,347.0085106,0.038575668,0.586510264
s31s32,chair,second,19.9975,114,46,1.945638252,0.106290672,95,56.95648884,97,10,0.127982646,0.007225434,74.48466712,4.201897533,0.932568149,12,0.179190751,22,0.293891788,33.71592539,358.3794727,0.056163384,0.789096126
s31s32,pipe,third,20.425,119,36,1.772400812,0.096525097,92,54.26821992,62,10,0.11969112,0.004821601,76.96270146,4.317550505,1.248799232,11,0.150433944,23,0.270255029,49.95196926,361.7011643,0.042471042,0.576368876
s33s34,antenna,second,17.7585,96,52,2.094756325,0.145454545,114,60.67545636,111,17,0.175272727,0.010174419,69.74963913,4.355306799,1.000714796,12,0.204215116,17,0.275038928,10.00714796,347.102,0.061090909,0.714796283
s33s34,chair,third,19.97,111,79,1.839147176,0.120781528,129,58.54637288,138,17,0.129070456,0.005325444,75.56027877,4.320239234,1.445086705,27,0.20591716,34,0.310997188,13.87283237,362.1150512,0.084173088,0.693641618
s33s34,pipe,first,18.686,107,34,2.186036943,0.077253219,72,54.23512694,68,11,0.105865522,0.002857143,82.49197089,4.441240602,0.973574409,9,0.188571429,10,0.308223039,25.03477051,355.9855372,0.034334764,0.278164117
s35s36,antenna,third,6.58,47,10,2.33850053,0.211678832,23,68.43435777,18,1,0.186131387,0.021818182,57.37724566,4.509428571,2.158273381,0,0.236363636,6,0.303937346,14.38848921,340.4511628,0.091575092,0
s35s36,chair,second,6.558,66,9,2.450230953,0.202643172,10,67.91867806,17,2,0.215859031,0.021929825,76.33333333,4.285287356,1.310043668,0,0.214912281,3,0.286781222,13.10043668,355.0346821,0.079295154,1.310043668
s35s36,pipe,first,9.67,55,30,2.567964356,0.151103565,39,61.35257872,32,4,0.176570458,0.008474576,73.21737351,4.384072398,3.193277311,2,0.166101695,10,0.373435348,21.8487395,359.1869369,0.086587436,0.336134454
s37s38,antenna,third,12.638,75,41,2.125523832,0.143314652,101,58.74231719,123,4,0.162530024,0.0096,80.21211466,4.504847826,2.130898021,11,0.18,31,0.28295511,16.74277017,340.9268585,0.06415397,1.065449011
s37s38,chair,first,10.4165,61,37,2.071726154,0.155172414,62,60.77736555,77,5,0.201970443,0.009840098,68.42746661,4.44125,2.476415094,22,0.201722017,22,0.339197785,22.40566038,345.1824324,0.071428571,0.353773585
s37s38,pipe,second,12.2225,72,24,2.075464858,0.11452514,44,53.96908792,51,7,0.149441341,0.0041841,69.64774194,4.424640288,1.234567901,6,0.19665272,20,0.331669331,24.69135802,343.730038,0.057342657,1.09739369
s39s40,antenna,second,12.307,68,23,2.035619562,0.092814371,63,54.9808443,60,2,0.095808383,0.007473842,66.15145136,4.407741935,1.335311573,5,0.200298954,12,0.301445305,28.18991098,345.4092742,0.046407186,0.445103858
s39s40,chair,first,10.058,93,25,2.142398473,0.112633181,56,58.15065773,62,8,0.111111111,0.010638298,69.97491663,4.342961373,1.951951952,4,0.164133739,15,0.277446747,34.53453453,344.9978355,0.054794521,0.45045045
s39s40,pipe,third,9.1895,84,30,2.091341117,0.095785441,46,55.02786368,43,2,0.109195402,0.001912046,69.7439242,4.327972028,2.676864245,4,0.145315488,14,0.30241251,43.97705545,366.6128134,0.0651341,0.191204589
s3s4,antenna,second,12.2675,80,32,1.978739738,0.119909502,54,56.03488666,69,5,0.126696833,0.010169492,75.46913501,4.488580442,0.786516854,5,0.183050847,15,0.31094259,10.11235955,336.4023179,0.071266968,0.224719101
s3s4,chair,first,9.16,57,28,2.07477058,0.110192837,46,56.53069302,52,5,0.132231405,0.011004127,57.23289474,4.423754789,0.957592339,2,0.209078404,16,0.360734254,5.471956224,340.2046414,0.079889807,0.547195622
s3s4,pipe,third,11.864,81,26,2.246337064,0.115056818,54,60.74957848,52,2,0.143465909,0.008510638,88.63009005,4.482467532,1.553672316,3,0.164539007,13,0.33107242,15.53672316,363.9653061,0.058321479,0.141242938
s41s42,antenna,first,16.972,113,16,1.922604802,0.12704918,56,57.91411152,84,6,0.157103825,0.013642565,91.61099331,4.376715867,1.209677419,9,0.171896317,17,0.270987213,21.50537634,352.8178368,0.042349727,0.268817204
s41s42,chair,third,16.482,108,53,2.07954995,0.14453584,48,60.12510092,62,6,0.145710928,0.008215962,79.49718391,4.315526316,0.926998841,4,0.180751174,16,0.300501645,15.06373117,363.6905488,0.07656066,0.463499421
s41s42,pipe,second,18.686,129,44,1.764042818,0.097222222,82,56.16968567,90,4,0.125,0.01280683,102.1825952,4.350878378,1.366982124,10,0.14941302,28,0.274099857,34.70031546,364.845679,0.050375134,0.94637224
s43s44,antenna,first,10.125,68,32,2.161927447,0.1328125,89,62.3057577,89,7,0.174804688,0.010731707,81.10268995,4.370263852,1.57116451,19,0.188292683,28,0.322505623,15.7116451,356.8145266,0.071289063,0.739371534
s43s44,chair,second,13.581,80,66,2.132623997,0.132173913,61,59.26929009,93,8,0.137391304,0.008688097,72.6176168,4.363542714,1.847187238,13,0.189400521,35,0.335878104,17.63224181,357.2696493,0.060209424,0.923593619
s43s44,pipe,third,10.4835,88,23,1.947993301,0.065810594,46,50.37709972,59,6,0.096308186,0.001602564,82.21776929,4.457391304,1.531393568,5,0.155448718,17,0.280079007,44.41041348,351.8822115,0.057971014,0.306278714
s45s46,antenna,second,10.068,51,27,2.101763632,0.133597884,65,62.07562644,60,5,0.133597884,0.017173052,60.46573802,4.606286645,1.849405548,5,0.225891678,15,0.31749922,17.17305152,334.7100694,0.081117021,0.264200793
s45s46,chair,third,8.329,39,19,2.105236728,0.165938865,39,61.81104584,21,0,0.165938865,0.019607843,47.41412057,4.639438776,2.819956616,3,0.220043573,14,0.323631346,26.03036876,338.4519774,0.113537118,0.21691974
s45s46,pipe,first,8.2995,39,45,2.265358071,0.140065147,105,63.30609047,87,5,0.176981542,0.017353579,50.77969514,4.516889535,2.272727273,1,0.24186551,24,0.346364051,25.97402597,344.9651811,0.10640608,0
s47s48,antenna,third,11.74,66,25,2.200739334,0.083484574,50,57.64356346,36,0,0.103448276,0.007246377,93.2459691,4.574414894,0.909090909,4,0.161231884,23,0.298288703,30.90909091,356.531746,0.032786885,0.727272727
s47s48,chair,second,10.046,74,11,2.10287444,0.089189189,34,54.74462371,31,6,0.132432432,0.008086253,74.44061545,4.432440945,2.191780822,5,0.191374663,16,0.278014034,35.61643836,354.4754098,0.021680217,0.547945205
s47s48,pipe,first,12.2525,61,54,2.279455691,0.096959737,103,60.13044058,108,9,0.138866064,0.011494253,80.97165119,4.458802993,2.943581357,5,0.146962233,36,0.311816722,34.3417825,369.7641723,0.036976171,0.572363042
s49s50,antenna,third,8.695,116,52,2.054096661,0.121065375,75,59.13120867,127,4,0.147699758,0.009677419,97.19550815,4.425121951,1.494885917,17,0.177419355,27,0.269935757,18.09598741,349.2559395,0.04136253,0.865460268
s49s50,chair,first,8.329,51,15,2.250350241,0.159509202,39,62.66441787,55,5,0.171779141,0.012251149,54.46434,4.394513619,1.654135338,5,0.246554364,16,0.308918893,4.511278195,348.0038835,0.06595092,0.601503759
s49s50,pipe,second,10.9365,101,40,2.018699854,0.101184069,68,55.61981182,93,8,0.12378902,0.007526882,76.83021939,4.401283582,1.159114858,11,0.18172043,23,0.302901387,15.8061117,354.3815029,0.061356297,0.632244468
s51s52,antenna,second,15.706,85,40,2.042910703,0.108366534,72,59.74348357,135,13,0.141035857,0.007165605,74.30514537,4.31038055,1.860465116,17,0.159235669,33,0.286996603,12.40310078,356.5794393,0.058964143,1.550387597
s51s52,chair,first,18.686,85,51,1.974351094,0.119414484,64,58.04073777,112,12,0.137904468,0.006158584,67.98959866,4.345684008,1.664145234,17,0.197074673,26,0.299975812,16.64145234,360.694499,0.060278207,2.344931921
s51s52,pipe,third,14.392,86,15,2.082449915,0.105960265,39,56.12958453,47,6,0.130242826,0.008810573,74.10564121,4.538531073,1.284796574,5,0.167400881,6,0.321874797,14.98929336,359.8625,0.046666667,1.713062099
s54s55,antenna,first,19.582,204,117,1.75719379,0.091114458,125,52.56617862,182,31,0.091114458,0.009409108,91.05760526,4.249682203,1.047904192,29,0.171245766,70,0.268550783,21.33233533,340.269914,0.05685241,1.122754491
s54s55,chair,third,16.9745,142,51,1.74542901,0.084291188,73,50.8352906,64,20,0.070881226,0.006698565,83.41172003,4.276978022,0.669216061,10,0.189473684,19,0.265885919,28.68068834,359.9562842,0.058485139,0.956022945
s54s55,pipe,second,15.228,146,55,1.8518466,0.10062333,72,54.80354352,83,12,0.085485307,0.010676157,84.01288922,4.233181818,0.708591674,8,0.189501779,26,0.281899691,17.71479185,349.1939163,0.065004452,1.062887511
s55s56,antenna,first,11.431,62,15,2.065376603,0.149758454,39,60.79714786,72,6,0.185185185,0.019292605,59.63053839,4.499283019,2.05371248,10,0.237942122,12,0.317590237,3.159557662,339.4471366,0.086956522,1.263823065
s55s56,chair,second,11.75,65,51,1.999521743,0.136200717,39,62.23981409,78,8,0.170848268,0.019093079,58.61656089,4.465873016,1.398601399,16,0.238663484,23,0.32822594,8.158508159,350.2772436,0.163461538,0.699300699
s55s56,pipe,third,13.9715,87,40,2.067627316,0.126748252,83,61.64319383,115,11,0.153846154,0.009606987,69.62501931,4.509361233,1.355932203,16,0.198253275,29,0.312699854,3.389830508,352.7861482,0.108867428,1.186440678
s57s58,antenna,second,15.1805,106,23,2.008721776,0.089552239,57,55.59777894,75,7,0.130884041,0.009174312,97.56741531,4.326302251,1.876379691,9,0.149082569,25,0.279802054,30.90507726,365.413961,0.026406429,1.103752759
s57s58,chair,third,17.38,103,41,2.043611471,0.08959276,75,58.34463706,112,13,0.11040724,0.006329114,76.6386844,4.359587629,0.868055556,19,0.198915009,36,0.317008704,28.64583333,355,0.057220708,1.128472222
s57s58,pipe,first,13.4415,92,27,1.965561218,0.096921323,51,59.00136093,90,6,0.144811859,0.014806378,77.82105526,4.380311526,2.297592998,11,0.165148064,26,0.293606281,21.88183807,364.5984496,0.066513761,1.094091904
s59s60,antenna,third,15.738,84,53,1.910993304,0.124719101,125,60.58777258,174,12,0.164044944,0.006176305,79.44376018,4.442114286,2.175125488,31,0.180797305,53,0.325949043,7.808142777,352.281155,0.082677165,1.450083659
s59s60,chair,second,11.7795,73,31,1.901657126,0.124768946,66,60.5845924,102,9,0.178373383,0.011080332,91.81771096,4.447118227,3.099361896,15,0.1966759,25,0.341360688,4.557885141,362.1924939,0.091497227,0.820419325
s59s60,pipe,first,12.193,64,31,2.020304263,0.133587786,104,61.75948264,122,6,0.194656489,0.005719733,71.79464883,4.437379808,2.602230483,11,0.159199237,23,0.335562259,5.576208178,364.4102564,0.091866029,1.486988848
s5s6,antenna,first,11.797,78,23,1.982943471,0.157687254,52,60.77831142,75,2,0.186596583,0.01312336,83.31558202,4.345322581,1.792573624,10,0.19160105,17,0.290685862,14.08450704,350.955595,0.051383399,1.280409731
s5s6,chair,second,16.106,115,53,1.842532947,0.113905325,84,56.31011816,116,10,0.13683432,0.006651885,89.059104,4.366938776,1.065340909,9,0.185513673,35,0.277713805,13.49431818,361.7360558,0.053254438,1.207386364
s5s6,pipe,third,17.8825,101,43,1.900767219,0.122552574,85,58.7752594,148,8,0.158085569,0.010869565,73.77993008,4.392713755,1.250868659,18,0.165217391,40,0.297049075,13.20361362,357.347181,0.057329463,1.042390549
s61s62,antenna,third,11.3915,83,28,1.999564261,0.133204633,67,60.62012986,114,9,0.168918919,0.009643202,81.91487815,4.447109974,2.285714286,22,0.172613308,38,0.309517652,21.9047619,357.068564,0.068532819,1.80952381
s61s62,chair,first,10.058,65,18,1.988398604,0.144508671,34,58.95516266,50,1,0.186897881,0.007692308,90.91579576,4.315979899,2.868068834,7,0.182692308,9,0.328191817,5.736137667,357.8653367,0.080234834,2.294455067
s61s62,pipe,second,11.7775,68,18,1.911553176,0.101167315,54,57.67799779,73,3,0.162127108,0.005181347,70.83566701,4.447583893,1.799485861,6,0.187823834,25,0.35935995,17.99485861,355.9237589,0.066753927,1.670951157
s63s64,antenna,second,15.773,89,64,2.011955312,0.101767542,148,58.13186071,166,19,0.127477236,0.006423983,89.73790186,4.455358712,0.845219229,25,0.191648822,39,0.308478922,6.867406233,356.3080324,0.06223176,0.950871632
s63s64,chair,first,16.9175,81,56,2.192705907,0.13799505,97,61.04731223,149,10,0.15779703,0.009276438,69.24265111,4.310872483,1.464307505,24,0.192331478,40,0.282844603,21.35448444,356.999179,0.061262376,1.58633313
s63s64,pipe,third,16.9845,75,55,2.199982552,0.132216015,111,62.11815577,161,6,0.163252638,0.009925558,74.73353657,4.37255102,1.648351648,25,0.187344913,34,0.331538349,10.37851038,359.3932119,0.084419615,1.221001221
s65s66,antenna,first,10.4935,79,7,1.915147374,0.130081301,33,54.77326826,47,0,0.136178862,0.006085193,65.08803209,4.473141361,2.217741935,10,0.184584178,16,0.282053471,22.17741935,350.1206897,0.079918033,0.806451613
s65s66,chair,third,12.2105,76,9,1.914674668,0.125,27,55.9763218,44,3,0.153688525,0.010224949,63.36498734,4.377777778,2.845528455,3,0.175869121,11,0.287286788,28.45528455,372.3623978,0.075975359,1.829268293
s65s66,pipe,second,11.3695,68,14,1.934596582,0.127020785,29,55.04802459,38,2,0.136258661,0.006912442,61.88884437,4.333112583,1.830663616,7,0.168202765,9,0.292106926,27.45995423,363.1912226,0.106481481,0.457665904
s67s68,antenna,first,11.8465,82,36,1.905996857,0.147692308,60,61.17958683,87,10,0.173333333,0.011270492,81.21441482,4.422561576,1.305220884,16,0.174180328,30,0.282524168,11.04417671,349.7119114,0.063983488,1.907630522
s67s68,chair,third,7.797,78,53,1.999936534,0.14490566,76,64.57469463,139,20,0.172075472,0.009803922,78.41644534,4.370234834,1.61883738,24,0.20361991,49,0.284336358,15.45253863,355.6215139,0.079328757,1.545253863
s67s68,pipe,second,13.4945,76,43,1.984334088,0.134726225,78,63.36628274,145,13,0.155619597,0.010079194,81.49955695,4.387092338,2.204836415,24,0.184305256,66,0.314144313,14.22475107,354.8216319,0.068443804,0.853485064
s69s70,antenna,second,15.243,105,35,1.813176364,0.10298103,40,53.73281796,62,8,0.138211382,0.00270636,85.77777778,4.368072727,0.916230366,5,0.178619756,17,0.291553229,20.94240838,356.3339768,0.074525745,0.916230366
s69s70,chair,third,11.797,121,27,1.885891711,0.100896861,23,53.28115441,33,4,0.112107623,0,113.3896819,4.43925,0.652173913,7,0.1901566,14,0.262562692,10.86956522,355.8152866,0.04805492,1.52173913
s69s70,pipe,first,11.807,79,20,1.950284388,0.1296875,43,58.15307999,74,4,0.140625,0.010920437,86.69446307,4.541634241,1.044776119,4,0.215288612,12,0.30670011,8.955223881,350.299389,0.06875,1.044776119
s71s72,antenna,third,13.1875,107,25,1.905489328,0.115303983,55,57.57929434,104,3,0.15932914,0.009424084,87.80146759,4.484787535,1.718907988,17,0.185340314,37,0.267711282,18.20020222,350.0976676,0.077568134,0.910010111
s71s72,chair,second,9.215,88,32,2.156668877,0.137434555,41,62.73478211,67,6,0.179319372,0.010457516,72.70141914,4.416584507,1.64556962,12,0.192156863,24,0.283632934,3.797468354,359.3805461,0.075098814,0.886075949
s71s72,pipe,first,8.262,99,11,2.084132017,0.142458101,22,61.13772935,36,2,0.189944134,0.008356546,109.0841598,4.417333333,2.16802168,6,0.178272981,15,0.273183197,10.8401084,356.0038314,0.030985915,0.27100271
s73s74,antenna,third,12.752,78,39,2.2655191,0.110192837,108,64.70768728,138,12,0.148071625,0.006882312,66.50461003,4.396168067,1.715854496,19,0.205781142,14,0.31781742,26.08098833,347.1862836,0.047520661,1.853122855
s73s74,chair,first,11.285,70,42,2.369402772,0.138099106,79,64.61893468,114,11,0.18602762,0.008928571,68.35211559,4.398447581,2.259887006,7,0.205357143,27,0.304171652,22.59887006,362.6583851,0.043054427,1.129943503
s73s74,pipe,second,13.1305,59,42,2.218057512,0.114561028,133,61.78259012,182,8,0.149357602,0.008025682,60.74438202,4.434028683,1.601708489,12,0.218298555,38,0.334478587,20.28830753,356.4759648,0.059957173,0.961025093
s77s78,antenna,third,14.046,83,27,1.821867162,0.101390025,91,57.33049821,134,13,0.154538021,0.003267974,68.76123174,4.385099206,1.523656776,10,0.221405229,25,0.313234806,8.019246191,344.5642458,0.116298116,1.523656776
s77s78,chair,second,12.648,66,30,2.007776595,0.134342479,58,61.0472958,105,19,0.167455061,0.005671078,60.35199321,4.353693694,0.844277674,15,0.241965974,31,0.340244561,11.25703565,353.7200929,0.122390892,1.500938086
s77s78,pipe,first,15.7005,59,25,2.039076257,0.110160428,69,64.05317189,111,15,0.167914439,0.008547009,58.45295747,4.516666667,1.979166667,16,0.241452991,19,0.346297473,4.166666667,359.5994587,0.113612004,1.25
s8s9,antenna,second,11.7475,98,33,1.96914323,0.134328358,43,56.02372692,51,10,0.148105626,0.012614679,87.12909809,4.42832853,0.895856663,6,0.178899083,21,0.298037201,6.718924972,337.7142857,0.070034443,1.119820829
s8s9,chair,third,6.4735,81,10,1.997270951,0.149712092,26,59.69272347,47,5,0.15547025,0.017241379,84.13953488,4.354646465,2.611940299,11,0.199233716,13,0.278481036,14.92537313,357.6875,0.076923077,1.492537313
s8s9,pipe,first,11.785,83,37,2.097605071,0.155579399,63,61.01836572,72,14,0.180257511,0.012861736,58.91936559,4.398116343,1.048218029,8,0.191854234,22,0.308662057,16.77148847,352.4,0.102260495,0.419287212
s9s10,antenna,second,11.7795,79,25,2.061735144,0.141886151,91,63.21850977,121,13,0.17162277,0.010186757,78.36982124,4.343063457,2.25375626,16,0.192699491,33,0.316344559,8.347245409,350.825167,0.078164826,1.001669449
s9s10,chair,first,9.17,68,78,2.21623924,0.177459527,92,66.88347761,146,8,0.209838107,0.020535159,71.83721302,4.338676717,2.079510703,17,0.191039203,49,0.307249784,7.951070336,362.3626984,0.085927771,0.856269113
s9s10,pipe,third,11.3245,69,17,2.198953672,0.145404664,51,64.8897444,56,5,0.186556927,0.010958904,65.56581051,4.480808824,2.673796791,3,0.175342466,35,0.32370761,12.03208556,355.6869245,0.085517241,0.267379679
s75 s76,antenna,second,14.4615,83,27,1.821867162,0.101390025,91,57.33049821,134,13,0.154538021,0.003267974,68.76123174,4.385099206,1.523656776,10,0.221405229,25,0.313234806,8.019246191,344.5642458,0.116298116,1.523656776
s75 s76,chair,third,13.079,66,30,2.007776595,0.134342479,58,61.0472958,105,19,0.167455061,0.005671078,60.35199321,4.353693694,0.844277674,15,0.241965974,31,0.340244561,11.25703565,353.7200929,0.122390892,1.500938086
s75 s76,pipe,first,11.4015,59,25,2.039076257,0.110160428,69,64.05317189,111,15,0.167914439,0.008547009,58.45295747,4.516666667,1.979166667,16,0.241452991,19,0.346297473,4.166666667,359.5994587,0.113612004,1.25
