headline,filename,conditionNum,condition,MLC,numContenWords,numWords,numFunctionWords,MRC_Familiarity,MRC_Concreteness,MRC_Imagability,AOA,VADER,COCA_new_Frequency_CW,familiarCS,understandingCS,positiveCS,sincereCS,funnyCS
Horrified Investigators Find Unresponsive Legislative Body In Capitol Building,metaphor07.txt,3,metaphor,9,8,9,1,581.5,509.25,526.75,7.99,-0.54,107.49,25.80645161,90.32258065,6.451612903,38.70967742,38.70967742
How Much Warmer Was Your City in 2015?,control32.txt,2,control,8,7,8,1,598.5,288.2,360.17,5.06,0.3,1353.37,63.33333333,93.33333333,23.33333333,80,0
Huge Leak Of Coal Ash Slows At North Carolina Power Plant,control15.txt,2,control,11,9,11,2,545.17,475.17,518.5,5.72,-0.03,111.07,20.83333333,83.33333333,29.16666667,79.16666667,0
Humanity Collectively Decides It Time To Put Down Aging God,metaphor02_revision.txt,3,metaphor,10,7,10,3,559,344,394.75,6.18,0.27,286.76,17.85714286,60.71428571,21.42857143,10.71428571,46.42857143
"•Just Bear With Me A Second,ê Obama Announces Before Each Sentence In State Of The Union",saturation05.txt,5,saturation,16,8,16,8,569.75,454.5,495,6.56,0.08,267.1,37.03703704,88.88888889,18.51851852,37.03703704,59.25925926
Inaccuracy Of Every Detail Forces Student Paper To Pull Story At Last Minute,saturation08_revision.txt,5,saturation,13,10,13,3,595.88,398.75,459.25,6.26,0,266.24,16.66666667,80,3.333333333,53.33333333,23.33333333
Investigators Seek Paper Trails That Could Prove War Crimes,control16.txt,2,control,4.5,8,9,1,565,469.8,447,7.01,-0.6,249.89,35.48387097,96.77419355,51.61290323,77.41935484,0
Investors Clipped Twitter's Wings After It Reported A 4th-Quarter Loss,control17.txt,2,control,11,7,10,3,552.67,441.67,468,6.64,-0.32,79.81,43.24324324,91.89189189,0,72.97297297,43.24324324
Israel Begins Murder Investigation of Soldier Who Shot Palestinian Man,control19.txt,2,control,5,8,11,2,540,491.8,525.2,6.57,-0.69,124.14,44.82758621,96.55172414,20.68965517,68.96551724,3.448275862
Israel Soldiers Wounded In Lebanon Border Explosions Are Tied To Hezbollah,control18.txt,2,control,5.5,9,11,2,520.6,469.2,482.8,6.39,0,566.34,31.57894737,76.31578947,0,57.89473684,0
Law Graduate Who Sued Her Former Law School Loses at Trial,control01.txt,2,control,11,8,11,3,540,414.71,444.25,7.81,-0.32,273.12,21.21212121,96.96969697,18.18181818,72.72727273,18.18181818
Lead in Drinking Water Still Torments High Number Of Schools Nationwide,control04.txt,2,control,11,9,11,2,567.88,461.13,494.38,5.32,0.08,282.69,61.29032258,93.5483871,3.225806452,67.74193548,0
Libyaês Cache Of Toxic Arms Reported To Be All Destroyed Last Week,control20.txt,2,control,13,9,12,3,540.71,391.71,410.43,6.97,-0.49,790.49,16.12903226,77.41935484,61.29032258,67.74193548,3.225806452
Man Moving To Different City Never Took Chance To Truly Loathe Surroundings,negation06_revision.txt,4,negation,12,10,12,2,579.86,401.17,422.29,6.16,0.18,282.41,7.407407407,77.77777778,14.81481481,25.92592593,59.25925926
Members Of Russian Punk Band Get Warm Greeting In Brooklyn,control21.txt,2,control,10,8,10,2,586.25,445,420.75,6.43,0.54,212.97,39.13043478,91.30434783,91.30434783,91.30434783,8.695652174
Microsoft Employees Fondly Remember Days When CEOs Were So Big They Took Up Entire Rooms,metaphor09.txt,3,metaphor,7.5,11,15,4,590.17,393.75,404,5.08,0.44,353.59,15.38461538,50,42.30769231,15.38461538,61.53846154
More Cities Providing Bins For Materials That Look Recyclable,atten07.txt,1,atten,9,6,9,3,590.5,516.75,513,6.7,0,99.13,50,85.71428571,96.42857143,75,14.28571429
More Students Becoming Eligible for Student Loan Forgiveness Plans,control38.txt,2,control,9,7,9,2,594.6,456.75,454.8,7.37,0.27,121.66,70.37037037,96.2962963,96.2962963,100,0
Nation Terrified After Millions Lose Consciousness For 8 Whole Hours Last Night,atten02.txt,1,atten,12,10,12,2,569.14,367.43,429.71,6.55,-0.77,289.48,20.83333333,79.16666667,8.333333333,20.83333333,50
"Netflix Signs Political Series ""House Of Cards"" For A Fifth Season",control24.txt,2,control,11,8,11,3,555.2,502.2,522.2,6.28,0,242.38,81.48148148,96.2962963,92.59259259,85.18518519,0
"New Snack Chip Evades Digestive System, Burrows Straight Into Heart",metaphor04.txt,3,metaphor,5,9,10,1,556.6,427.8,454.4,7.25,0.23,295.34,9.677419355,64.51612903,9.677419355,16.12903226,51.61290323
Newspaper Cites Pilot Error As Reason In Recent Russia Plane Crash ,control07.txt,2,control,11,9,11,2,536.83,430.6,415.67,7.33,-0.66,89.93,40,90,0,70,3.333333333
North Korea Successfully Harvests Wheat In Show Of Growing Strength,saturation10.txt,5,saturation,10,8,10,2,534,455.8,480.8,6.28,0.8,135.06,17.85714286,89.28571429,50,71.42857143,35.71428571
North Korean Propaganda Video Shows Nuclear Strike on American Capital,control13.txt,2,control,10,9,10,1,548.5,425,471,8.51,-0.36,170.42,24,92,0,48,8
Obama Announces Pledges Of $750 Million For Student Technology,control25.txt,2,control,9,7,9,2,531,424.33,483.67,7.62,0,209.99,16,100,100,84,0
Officials Report Bombings Kill At Least 16 In Iraqi Capital,control11.txt,2,control,10,8,10,2,551.5,381.5,428,7.43,-0.69,183.5,50,100,3.846153846,76.92307692,0
Opponents Of Same Sex Marriage Geared To Continue Legal Battle In Courts,control27.txt,2,control,12,9,12,3,537.57,445.17,503.83,7.87,-0.27,126.86,88,100,32,80,4
Party Predictions Differ In Texas On Impact Of New Voter ID Law,control28.txt,2,control,12,9,12,3,555.6,424,473,8.32,0.4,341.8,48.14814815,96.2962963,22.22222222,81.48148148,0
Pentagon Chief Used Personal Email After White House Query,control23.txt,2,control,9,8,9,1,559.6,441.8,493.8,7.49,0,236.18,36.84210526,92.10526316,5.263157895,68.42105263,2.631578947
Perfect Gentleman Refrains From Sexually Assaulting Drunk Woman,negation07_revision.txt,4,negation,8,7,8,1,553.2,457.75,488,7.93,-0.25,46.99,24.13793103,93.10344828,48.27586207,24.13793103,51.72413793
"Plan to Rescue Puerto Rico Advances, Led by House Republicans",control36.txt,2,control,10,8,10,2,557.25,427,458.75,7.25,0.51,155.06,30,86.66666667,80,73.33333333,10
Police Report Area Woman Followed Across Eight Websites By Obsessed Shoe Ad,metaphor10_revision.txt,3,metaphor,12,10,12,2,591,469.8,506.6,5.97,-0.18,152.57,8.823529412,67.64705882,8.823529412,20.58823529,73.52941176
"Politically Conservative Friend Annoyingly Not A Bigoted, Narrow Minded Racist",negation05_revision.txt,4,negation,10,9,10,1,570,357,415.4,8.08,-0.2,420.32,26.66666667,70,43.33333333,30,50
Poll Suggests Majority Of Americans Never Met Matt Damon,negation02_revision.txt,4,negation,9,8,9,1,536.5,341.75,416.75,7.8,0,143.49,37.5,90.625,40.625,31.25,78.125
Presidential Elections In El Salvador And Costa Rica Go To Runoffs,control29.txt,2,control,11,8,11,3,576.5,340,399.5,7.14,0,119.01,39.28571429,85.71428571,42.85714286,89.28571429,0
Professor's Group Says Efforts To Halt Sexual Harassment Have Stifled Speech,control08.txt,2,control,12,10,11,1,539.71,348,407.71,7.5,-0.71,804.72,28.125,75,9.375,53.125,6.25
Protests In St. Louis After White Police Officer Kills Black Teenager,control30.txt,2,control,11,9,11,2,564.2,443.4,540.2,5.98,-0.66,200.51,76.66666667,100,3.333333333,80,3.333333333
Raiders Still Looking For Free Agents With Proven Track Record Of Never Playing On Raiders,negation04.txt,4,negation,7.5,11,15,4,578.29,400.14,434.57,6.66,0.62,235.27,41.37931034,62.06896552,41.37931034,34.48275862,62.06896552
Recent Trial Brings New Scrutiny Of Self Defense Laws,control35.txt,2,control,9,7,9,2,549.5,381,410.25,8.08,0.13,396.47,43.47826087,86.95652174,34.7826087,82.60869565,4.347826087
"Reclusive Deity Hasnêt Written Book In Over 2,000 Years",atten04.txt,1,atten,10,7,9,2,527,431,466.5,7.97,0,366.25,26.66666667,73.33333333,20,26.66666667,66.66666667
Russian Government Officials Promise Low Number Of Deaths For Winter Olympics,saturation01_revision.txt,5,saturation,11,9,11,2,594.5,401.4,465.33,6.19,0.13,194.79,13.15789474,71.05263158,44.73684211,44.73684211,31.57894737
Scientists Suggest Bulk of Civilization Not Prepared For A Sucker Punch To The Gut,negation10_revision.txt,4,negation,14,9,14,5,507.75,396.5,409,7.38,-0.36,411.31,15.38461538,53.84615385,19.23076923,34.61538462,53.84615385
Sexual Harrassment Cases Harm Berkeley's Image As A Center Of Social Action,control33.txt,2,control,13,9,12,3,540.4,351.25,445.6,8.19875,-0.7906,150.7057679,34.28571429,97.14285714,0,82.85714286,0
Smallest Stick Figure Somberly Scraped Off Family Car's Rear Window,atten10_revision.txt,1,atten,10,9,10,1,575.5,502.33,520.67,5.12,0,98.86,12.5,72.5,10,15,57.5
Sony To Sell Personal Computer Unit Amid Drop In Sales,control31.txt,2,control,10,7,10,3,557.8,345.2,395.6,7.1,-0.27,110.56,22.58064516,80.64516129,25.80645161,70.96774194,0
Study Finds Girls Outperforming Future Employers In School,atten05.txt,1,atten,8,7,8,1,604.75,460.5,504,6.26,0,200.68,16.12903226,61.29032258,58.06451613,51.61290323,35.48387097
Super Bowl Confetti Made Entirely From Shredded Concussion Studies,saturation06.txt,5,saturation,9,8,9,1,568,451,465,6.9,0.6,131.45,24.24242424,69.6969697,21.21212121,24.24242424,72.72727273
Tennessee Governor Urges Two Free Years Of Community College And Technical School,control34.txt,2,control,12,10,12,2,584.17,431.67,479.17,6.92,0.51,499.37,21.42857143,100,96.42857143,85.71428571,0
Texas Authorities Charge 48 More Bikers In Deadly Restaurant Shootout,control40.txt,2,control,10,8,10,2,593,583,611,7.16,0,85.92,48.38709677,93.5483871,19.35483871,67.74193548,0
Texas Law Requires Whiskey Bottles Shot Out Of Air Immediately Once Empty,saturation02_revision.txt,5,saturation,12,11,12,1,571.13,433.38,467,5.95,-0.2,321.19,11.42857143,60,25.71428571,14.28571429,71.42857143
Total Weirdo Spends Entire Motherês Day At Cemetery,atten08_revision.txt,1,atten,9,7,8,1,563,477,418,6.67,-0.42,172.62,0,80.76923077,7.692307692,7.692307692,53.84615385
United Nations Panel Criticizes Church Over Continued Sex Abuse By Priests,control37.txt,2,control,10,8,10,2,518.83,476.8,535.6,8.14,-0.59,119.94,68,88,12,80,8
"Washington, Alaska and Hawaii Hold Democratic Nominating Contests On Same Day",control12.txt,2,control,11,9,11,2,586.67,380.33,422.67,7.02,0,222.01,75,96.42857143,75,67.85714286,3.571428571
"Wild, Rutting Animals Pour Onto High School Dance Floor",metaphor08_revision.txt,3,metaphor,9,8,9,1,576,475.57,526.57,5.65,0,215.75,10.71428571,60.71428571,14.28571429,14.28571429,71.42857143
Wildlife Experts Report Not Climbing Into Gorilla Enclosure Likely Prevented Man's Death,negation08_revision.txt,4,negation,6,11,12,1,572.5,418.75,449,6.74,-0.59,429.08,17.39130435,95.65217391,86.95652174,47.82608696,69.56521739
Woman Feels Like Sheês Finally Ready To Start Receiving Unsolicited Vulgar Messages Again,atten09.txt,1,atten,14,11,13,2,568.75,430.5,461.75,7.27,0.61,117,15,70,5,10,60
Zombie Ronald Reagan Raised From The Dead To Lead Republican Party,saturation09_revision.txt,5,saturation,11,8,11,3,567.75,452,495,7.03,-0.38,112.07,10,80,20,6.666666667,90
